,index,counts
567,2023-07-15T00:46:54Z,0
568,2023-07-14T17:20:08Z,0
569,2023-07-12T23:29:24Z,0
570,2023-07-11T15:12:37Z,0
571,2023-07-09T05:43:52Z,0
572,2023-07-08T02:44:46Z,0
573,2023-07-06T02:08:35Z,1
574,2023-07-06T01:03:47Z,1
575,2023-06-15T10:16:57Z,0
576,2023-06-11T11:04:36Z,0
577,2023-06-09T13:26:20Z,0
578,2023-06-06T20:58:47Z,0
579,2023-06-05T16:19:46Z,3
580,2023-06-04T10:46:59Z,1
581,2023-05-28T22:49:44Z,0
582,2023-05-28T00:52:32Z,1
583,2023-05-27T16:04:03Z,0
584,2023-05-25T15:56:40Z,1
585,2023-05-25T05:18:55Z,0
586,2023-05-25T00:52:57Z,0
587,2023-05-24T18:53:26Z,1
588,2023-05-22T22:06:35Z,0
589,2023-05-22T18:04:03Z,0
590,2023-05-22T12:53:08Z,0
591,2023-05-22T12:14:50Z,0
592,2023-05-22T10:58:47Z,0
593,2023-05-22T08:16:31Z,1
594,2023-05-22T07:36:52Z,0
595,2023-05-22T04:03:30Z,0
596,2023-05-22T00:55:15Z,0
597,2023-05-22T00:32:52Z,0
598,2023-05-21T20:33:56Z,0
599,2023-05-21T19:29:55Z,0
600,2023-05-21T18:28:30Z,0
601,2023-05-21T17:39:56Z,1
602,2023-05-21T17:29:29Z,2
603,2023-05-21T16:37:21Z,0
604,2023-05-21T16:34:22Z,0
605,2023-05-21T14:15:32Z,7
606,2023-05-21T13:50:05Z,0
607,2023-05-21T12:47:24Z,0
608,2023-05-21T12:33:22Z,0
609,2023-05-21T11:41:57Z,0
610,2023-05-21T11:36:40Z,0
611,2023-05-21T11:05:48Z,0
612,2023-05-21T11:03:54Z,0
613,2023-05-21T08:36:39Z,0
614,2023-05-21T07:49:54Z,0
615,2023-05-21T06:38:16Z,0
616,2023-05-21T06:29:51Z,0
617,2023-05-21T06:13:24Z,1
618,2023-05-21T03:36:48Z,0
619,2023-05-21T02:51:21Z,0
620,2023-05-20T23:16:55Z,0
621,2023-05-20T23:09:38Z,2
622,2023-05-20T21:50:54Z,0
623,2023-05-20T20:40:51Z,1
624,2023-05-20T19:54:07Z,0
625,2023-05-20T19:51:11Z,0
626,2023-05-20T19:31:21Z,0
627,2023-05-20T19:30:10Z,0
628,2023-05-20T19:25:53Z,0
629,2023-05-20T19:25:43Z,2
630,2023-05-20T18:02:04Z,0
631,2023-05-20T17:40:33Z,0
632,2023-05-20T17:33:27Z,0
633,2023-05-20T16:56:42Z,0
634,2023-05-20T16:34:00Z,3
635,2023-05-20T15:57:13Z,0
636,2023-05-20T15:31:51Z,0
637,2023-05-20T15:26:50Z,1
638,2023-05-20T15:20:01Z,0
639,2023-05-20T14:58:47Z,0
640,2023-05-20T14:46:23Z,0
641,2023-05-20T14:42:27Z,1
642,2023-05-20T14:12:30Z,0
643,2023-05-20T13:30:36Z,0
644,2023-05-20T13:26:52Z,2
645,2023-05-20T12:16:27Z,0
646,2023-05-20T11:26:10Z,2
647,2023-05-20T11:14:19Z,0
648,2023-10-10T21:46:06Z,16
649,2023-12-09T09:51:46Z,2
650,2023-12-09T05:42:05Z,0
651,2023-12-04T12:13:59Z,2
652,2023-12-04T04:32:02Z,0
653,2023-12-02T08:51:38Z,1
654,2023-11-28T23:13:45Z,0
655,2023-11-25T12:37:14Z,2
656,2023-11-21T21:46:01Z,0
657,2023-11-19T02:54:15Z,1
658,2023-11-17T07:33:17Z,1
659,2023-11-14T01:05:13Z,0
660,2023-11-13T06:24:14Z,0
661,2023-11-13T06:23:32Z,0
662,2023-11-12T06:34:14Z,1
663,2023-11-12T04:09:18Z,1
664,2023-11-11T06:43:57Z,0
665,2023-11-09T19:52:50Z,1
666,2023-11-09T03:09:48Z,0
667,2023-11-07T01:11:29Z,2
668,2023-11-04T08:06:29Z,0
669,2023-10-30T23:50:38Z,2
670,2023-10-29T21:35:14Z,0
671,2023-10-28T17:53:46Z,0
672,2023-10-24T15:31:02Z,1
673,2023-10-23T16:40:35Z,0
674,2023-10-23T16:40:01Z,0
675,2023-10-18T19:15:56Z,0
676,2023-10-17T15:56:12Z,1
677,2023-10-17T06:28:50Z,2
678,2023-10-16T12:20:22Z,1
679,2023-10-15T07:41:00Z,2
680,2023-10-13T19:45:40Z,0
681,2023-10-13T18:59:45Z,1
682,2023-10-13T09:24:10Z,0
683,2023-10-12T21:51:59Z,0
684,2023-10-12T20:59:07Z,0
685,2023-10-12T12:47:05Z,0
686,2023-10-09T20:52:06Z,0
687,2023-10-07T20:08:53Z,0
688,2023-10-06T00:44:54Z,0
